fecha,temp_media,lluvia_mm,humedad_suelo,humedad_relativa,riesgo_chapulin,riesgo_pulgon,riesgo_cogollero,riesgo_arana_roja,estres_hidrico,nivel_alerta
2024-01-01,10.99,0.0,0.45,55.47,False,False,False,False,False,0
2024-01-02,10.87,0.0,0.45,58.37,False,False,False,False,False,0
2024-01-03,11.45,0.19,0.44,52.55,False,False,False,False,False,0
2024-01-04,10.84,0.04,0.44,70.67,False,False,False,False,False,0
2024-01-05,10.86,0.01,0.44,68.84,False,False,False,False,False,0
2024-01-06,11.49,0.08,0.44,56.53,False,False,False,False,False,0
2024-01-07,11.23,0.62,0.44,62.63,False,False,False,False,False,0
2024-01-08,11.84,0.02,0.43,69.34,False,False,False,False,False,0
2024-01-09,11.7,0.0,0.43,52.93,False,False,False,False,False,0
2024-01-10,11.18,0.03,0.43,61.06,False,False,False,False,False,0
2024-01-11,12.65,0.0,0.42,49.49,False,False,False,False,False,0
2024-01-12,14.1,0.0,0.42,42.3,False,False,False,False,False,0
2024-01-13,12.98,0.02,0.42,51.93,False,False,False,False,False,0
2024-01-14,14.0,0.03,0.42,45.78,False,False,False,False,False,0
2024-01-15,13.94,0.09,0.41,45.23,False,False,False,False,False,0
2024-01-16,14.09,0.31,0.41,50.56,False,False,False,False,False,0
2024-01-17,14.21,0.0,0.41,53.22,False,False,False,False,False,0
2024-01-18,14.39,0.0,0.4,39.08,False,False,False,False,False,0
2024-01-19,11.94,0.06,0.4,38.75,False,False,False,False,False,0
2024-01-20,9.81,0.57,0.41,70.97,False,False,False,False,False,0
2024-01-21,10.78,3.43,0.43,78.13,False,False,False,False,False,0
2024-01-22,12.45,0.4,0.43,67.47,False,False,False,False,False,0
2024-01-23,13.3,0.0,0.41,60.04,False,False,False,False,False,0
2024-01-24,13.24,0.01,0.4,60.93,False,False,False,False,False,0
2024-01-25,12.84,0.02,0.4,49.78,False,False,False,False,False,0
2024-01-26,13.15,0.02,0.39,45.19,False,False,False,False,False,0
2024-01-27,13.2,0.44,0.39,43.64,False,False,False,False,False,0
2024-01-28,10.42,0.22,0.4,67.78,False,False,False,False,False,0
2024-01-29,9.4,0.06,0.4,58.93,False,False,False,False,False,0
2024-01-30,10.64,0.0,0.39,45.25,False,False,False,False,False,0
2024-01-31,12.29,0.01,0.39,45.36,False,False,False,False,False,0
2024-02-01,11.97,0.02,0.39,56.78,False,False,False,False,False,0
2024-02-02,12.51,0.0,0.39,59.65,False,False,False,False,False,0
2024-02-03,11.09,0.0,0.38,60.33,False,False,False,False,False,0
2024-02-04,10.18,0.0,0.38,44.39,False,False,False,False,False,0
2024-02-05,9.43,0.0,0.37,35.46,False,False,False,False,False,0
2024-02-06,11.04,0.0,0.37,27.52,False,False,False,False,False,0
2024-02-07,13.49,0.0,0.37,36.0,False,False,False,False,False,0
2024-02-08,15.5,0.0,0.37,46.64,False,False,False,False,False,0
2024-02-09,14.97,0.0,0.36,45.23,False,False,False,False,False,0
2024-02-10,13.86,0.0,0.36,38.39,False,False,False,False,False,0
2024-02-11,14.28,0.0,0.36,36.17,False,False,False,False,False,0
2024-02-12,14.51,0.26,0.36,42.03,False,False,False,False,False,0
2024-02-13,13.78,0.04,0.36,52.66,False,False,False,False,False,0
2024-02-14,14.03,0.0,0.36,58.29,False,False,False,False,False,0
2024-02-15,13.85,0.22,0.36,62.12,False,False,False,False,False,0
2024-02-16,13.05,3.08,0.37,67.02,False,False,False,False,False,0
2024-02-17,8.8,10.14,0.49,78.81,False,False,False,False,False,0
2024-02-18,9.36,0.34,0.41,58.58,False,False,False,False,False,0
2024-02-19,11.66,0.0,0.39,36.06,False,False,False,False,False,0
2024-02-20,13.1,0.0,0.38,32.16,False,False,True,False,False,1
2024-02-21,13.69,0.0,0.38,28.59,False,False,True,False,False,1
2024-02-22,15.46,0.0,0.37,27.88,False,False,True,False,False,1
2024-02-23,15.58,0.0,0.37,32.62,False,False,True,False,False,1
2024-02-24,15.18,0.0,0.36,49.0,False,False,False,False,False,0
2024-02-25,15.83,0.0,0.36,40.99,False,False,False,False,False,0
2024-02-26,16.27,0.0,0.36,33.28,False,False,False,False,False,0
2024-02-27,16.32,0.0,0.35,30.02,False,False,False,False,False,0
2024-02-28,16.68,0.01,0.35,36.72,False,False,False,False,False,0
2024-02-29,15.21,0.18,0.35,42.05,False,False,False,False,False,0
2024-03-01,15.79,0.02,0.35,48.1,False,False,False,False,False,0
2024-03-02,15.67,0.01,0.35,40.2,False,False,False,False,False,0
2024-03-03,15.56,0.0,0.34,42.66,False,False,False,False,False,0
2024-03-04,15.57,0.0,0.34,41.71,False,False,False,False,False,0
2024-03-05,16.35,0.0,0.34,31.61,False,False,False,False,False,0
2024-03-06,16.65,0.0,0.34,31.27,False,False,False,False,False,0
2024-03-07,16.38,0.0,0.33,34.91,False,False,False,False,False,0
2024-03-08,17.46,0.0,0.33,26.46,False,False,False,False,False,0
2024-03-09,17.56,0.55,0.33,30.88,False,False,False,False,False,0
2024-03-10,15.78,0.54,0.34,53.46,False,False,False,False,False,0
2024-03-11,16.41,0.07,0.33,50.02,False,False,False,False,False,0
2024-03-12,16.87,0.01,0.33,45.2,False,False,False,False,False,0
